dex_no,name,M-A,M-B,M-C,implemented
3,フシギバナ,1,1,1,1
6,リザードン,1,1,1,1
9,カメックス,1,1,1,1
15,スピアー,1,1,1,1
18,ピジョット,1,1,1,1
24,アーボック,1,1,1,1
25,ピカチュウ,1,1,1,1
26,ライチュウ,1,1,1,1
26,ライチュウ(アローラ),1,1,1,1
36,ピクシー,1,1,1,1
38,キュウコン,1,1,1,1
38,キュウコン(アローラ),1,1,1,1
40,プクリン,0,0,1,1
45,ラフレシア,0,1,1,1
53,ペルシアン,0,0,1,1
53,ペルシアン(アローラ),0,0,1,1
59,ウインディ,1,1,1,1
59,ウインディ(ヒスイ),1,1,1,1
65,フーディン,1,1,1,1
68,カイリキー,1,1,1,1
71,ウツボット,1,1,1,1
80,ヤドラン,1,1,1,1
80,ヤドラン(ガラル),1,1,1,1
83,カモネギ,0,0,1,1
94,ゲンガー,1,1,1,1
115,ガルーラ,1,1,1,1
121,スターミー,1,1,1,1
122,バリヤード,0,0,1,1
127,カイロス,1,1,1,1
128,ケンタロス,1,1,1,1
128,ケンタロス(パルデア闘),1,1,1,1
128,ケンタロス(パルデア炎),1,1,1,1
128,ケンタロス(パルデア水),1,1,1,1
130,ギャラドス,1,1,1,1
132,メタモン,1,1,1,1
134,シャワーズ,1,1,1,1
135,サンダース,1,1,1,1
136,ブースター,1,1,1,1
142,プテラ,1,1,1,1
143,カビゴン,1,1,1,1
149,カイリュー,1,1,1,1
154,メガニウム,1,1,1,1
157,バクフーン,1,1,1,1
157,バクフーン(ヒスイ),1,1,1,1
160,オーダイル,1,1,1,1
168,アリアドス,1,1,1,1
181,デンリュウ,1,1,1,1
184,マリルリ,1,1,1,1
186,ニョロトノ,1,1,1,1
196,エーフィ,1,1,1,1
197,ブラッキー,1,1,1,1
199,ヤドキング,1,1,1,1
199,ヤドキング(ガラル),1,1,1,1
205,フォレトス,1,1,1,1
208,ハガネール,1,1,1,1
211,ハリーセン,0,1,1,1
212,ハッサム,1,1,1,1
214,ヘラクロス,1,1,1,1
227,エアームド,1,1,1,1
229,ヘルガー,1,1,1,1
248,バンギラス,1,1,1,1
254,ジュカイン,0,1,1,1
257,バシャーモ,0,1,1,1
260,ラグラージ,0,1,1,1
279,ペリッパー,1,1,1,1
282,サーナイト,1,1,1,1
302,ヤミラミ,1,1,1,1
303,クチート,0,1,1,1
306,ボスゴドラ,1,1,1,1
308,チャーレム,1,1,1,1
310,ライボルト,1,1,1,1
317,マルノーム,0,0,1,1
319,サメハダー,1,1,1,1
323,バクーダ,1,1,1,1
324,コータス,1,1,1,1
334,チルタリス,1,1,1,1
350,ミロカロス,1,1,1,1
351,ポワルン,1,1,1,1
354,ジュペッタ,1,1,1,1
358,チリーン,1,1,1,1
359,アブソル,1,1,1,1
362,オニゴーリ,1,1,1,1
373,ボーマンダ,0,0,1,1
376,メタグロス,0,1,1,1
389,ドダイトス,1,1,1,1
392,ゴウカザル,1,1,1,1
395,エンペルト,1,1,1,1
398,ムクホーク,0,1,1,1
405,レントラー,1,1,1,1
407,ロズレイド,1,1,1,1
409,ラムパルド,1,1,1,1
411,トリデプス,1,1,1,1
428,ミミロップ,1,1,1,1
442,ミカルゲ,1,1,1,1
445,ガブリアス,1,1,1,1
448,ルカリオ,1,1,1,1
450,カバルドン,1,1,1,1
454,ドクロッグ,1,1,1,1
460,ユキノオー,1,1,1,1
461,マニューラ,1,1,1,1
464,ドサイドン,1,1,1,1
470,リーフィア,1,1,1,1
471,グレイシア,1,1,1,1
472,グライオン,1,1,1,1
473,マンムー,1,1,1,1
475,エルレイド,1,1,1,1
478,ユキメノコ,1,1,1,1
479,ロトム,1,1,1,1
479,ヒートロトム,1,1,1,1
479,ウォッシュロトム,1,1,1,1
479,フロストロトム,1,1,1,1
479,スピンロトム,1,1,1,1
479,カットロトム,1,1,1,1
497,ジャローダ,1,1,1,1
500,エンブオー,1,1,1,1
503,ダイケンキ,1,1,1,1
503,ダイケンキ(ヒスイ),1,1,1,1
505,ミルホッグ,1,1,1,1
510,レパルダス,1,1,1,1
512,ヤナッキー,1,1,1,1
514,バオッキー,1,1,1,1
516,ヒヤッキー,1,1,1,1
518,ムシャーナ,0,1,1,1
530,ドリュウズ,1,1,1,1
531,タブンネ,1,1,1,1
534,ローブシン,1,1,1,1
545,ペンドラー,0,1,1,1
547,エルフーン,1,1,1,1
553,ワルビアル,1,1,1,1
560,ズルズキン,0,1,1,1
563,デスカーン,1,1,1,1
